Date,VTI,VEA,BND,BNDX,FZROX,VFIDX,VFSUX,^GSPC,^DJI,^IXIC,^NYA
2021-03-31,194.348526,42.91773224,74.17582703,49.1726799,13.5992012,8.422458649,9.56949234,3972.889893,32981.55078,13246.87012,15601.74023
2021-04-01,196.7838745,43.47702789,74.41452026,49.23386002,13.76990223,8.456212044,9.578249931,4019.870117,33153.21094,13480.11035,15751.7002
2021-04-05,199.078186,44.13246536,74.30043793,49.17354584,13.95008755,8.439335823,9.56949234,4077.909912,33527.19141,13705.58984,15870.33984
2021-04-06,199.1533661,43.74794006,74.56370544,49.29415894,13.95008755,8.47309494,9.578249931,4073.939941,33430.23828,13698.37988,15877.95996
2021-04-07,198.9841309,43.82659531,74.47595978,49.28553772,13.94060326,8.464652061,9.587005615,4079.949951,33446.26172,13688.83984,15838.84961
2021-04-08,200.140686,44.08002853,74.64266205,49.34583664,14.01647186,8.489969254,9.587005615,4097.169922,33503.57031,13829.30957,15886.55957
2021-04-09,201.3536682,44.18489838,74.54614258,49.25108337,14.11130524,8.47309494,9.587005615,4128.799805,33800.60156,13900.19043,15956.37012
2021-04-12,201.41008,43.94894409,74.52857971,49.21662521,14.11130524,8.47309494,9.578249931,4127.990234,33745.39844,13850.0,15977.45996
2021-04-13,201.9742737,44.24607468,74.72166443,49.26830292,14.15872288,8.489969254,9.587005615,4141.589844,33677.26953,13996.09961,15962.33984
2021-04-14,201.522934,44.2897644,74.66903687,49.1993866,14.12078857,8.489969254,9.587005615,4124.660156,33730.89063,13857.83984,16000.15039
2021-04-15,203.6667938,44.63058853,74.9849472,49.31138611,14.27252293,8.523728371,9.595757484,4170.419922,34035.98828,14038.75977,16116.84961
2021-04-16,204.1839447,44.89276886,74.78307343,49.23386002,14.31045628,8.506851196,9.587005615,4185.470215,34200.67188,14052.33984,16186.29004
2021-04-19,202.8487396,44.7616806,74.73925781,49.16493607,14.22510624,8.49840641,9.587005615,4163.259766,34077.62891,13914.76953,16107.55957
2021-04-20,200.986969,44.01885605,74.86205292,49.25108337,14.10182285,8.506851196,9.595757484,4134.939941,33821.30078,13786.26953,15944.61035
2021-04-21,203.3846741,44.42084885,74.94106293,49.30275345,14.25355625,8.523728371,9.604514122,4173.419922,34137.30859,13950.21973,16121.61035
2021-04-22,201.7956085,44.23732758,74.97614288,49.31138611,14.13975525,8.523728371,9.595757484,4134.97998,33815.89844,13818.41016,16030.62012
2021-04-23,204.2403412,44.74420166,74.9849472,49.2596817,14.31045628,8.523728371,9.595757484,4180.169922,34043.48828,14016.80957,16206.0
2021-04-26,204.9831848,44.8141098,74.93225861,49.24245834,14.3673563,8.515287399,9.595757484,4187.620117,33981.57031,14138.78027,16241.20996
2021-04-27,204.8891449,44.67428207,74.73925781,49.17354584,14.35787487,8.49840641,9.595757484,4186.720215,33984.92969,14090.21973,16273.30957
2021-04-28,204.8609772,44.79662704,74.77432251,49.18216324,14.34838963,8.506851196,9.595757484,4183.180176,33820.37891,14051.03027,16322.12988
2021-04-29,205.6413879,44.84033585,74.71289063,49.04431915,14.41477394,8.49840641,9.595757484,4211.470215,34060.35938,14082.5498,16376.0
2021-04-30,204.1369476,44.22860336,74.81816864,49.07878113,14.30097294,8.522930145,9.618556023,4181.169922,33874.85156,13962.67969,16219.33008
